cruisejoin,hauljoin,year,survey_name,specimen_id,species_code,length_mm,sex,age,area
-626,-2816,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,5,471,740,1,8,BS
-626,-2816,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,1,471,910,1,10,BS
-626,-2816,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,2,471,680,1,6,BS
-626,-2816,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,4,471,820,1,10,BS
-626,-2816,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,6,471,860,2,9,BS
-626,-2816,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,7,471,1020,2,12,BS
-626,-2816,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,8,471,970,2,12,BS
-626,-2816,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,9,471,750,2,7,BS
-626,-2816,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,10,471,930,2,10,BS
-626,-2816,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,3,471,790,1,9,BS
-626,-2819,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,11,471,540,2,5,BS
-626,-2819,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,12,471,590,2,5,BS
-626,-2819,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,13,471,630,2,5,BS
-626,-2824,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,14,471,810,2,10,BS
-626,-2824,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,15,471,850,2,10,BS
-626,-2824,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,16,471,1050,1,12,BS
-626,-2834,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,17,471,870,1,11,BS
-626,-2834,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,18,471,520,1,5,BS
-626,-2834,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,19,471,560,1,5,BS
-626,-2834,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,20,471,740,2,8,BS
-626,-2834,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,21,471,460,1,4,BS
-626,-2834,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,22,471,440,2,3,BS
-626,-2834,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,23,471,970,1,11,BS
-626,-2834,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,24,471,410,1,2,BS
-626,-2834,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,25,471,600,1,6,BS
-626,-2834,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,26,471,370,1,2,BS
-626,-2834,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,27,471,1010,1,13,BS
-626,-2834,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,28,471,680,2,7,BS
-626,-2836,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,29,471,480,2,5,BS
-626,-2836,2007,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,30,471,290,1,1,BS
